total_characters,total_lines,non_empty_lines,avg_line_length,max_line_length,empty_line_ratio,whitespace_ratio,syntax_error,num_functions,num_classes,num_imports,num_variables,num_if_statements,num_for_loops,num_while_loops,num_try_except,max_nesting_depth,num_return_statements,num_print_statements,single_quote_count,double_quote_count,quote_preference,tab_indented_lines,space_indented_lines,indentation_preference,snake_case_count,camel_case_count,naming_preference,comment_lines,comment_ratio,flesch_reading_ease,flesch_kincaid_grade,automated_readability_index,coleman_liau_index,gunning_fog,cyclomatic_complexity,unique_tokens,total_tokens,token_diversity,num_docstrings,total_docstring_length,avg_docstring_length,type_hints_count,return_annotations_count,has_main_guard,documentation_ratio,label,label_text,category,complexity,code
220,11,9,19.09090909090909,38,0.18181818181818182,0.2590909090909091,False,1,0,1,1,0,0,0,2,3,2,1,6,0,single,0,5,spaces,26,0,snake_case,0,0.0,3.12,15.1,25.7,23.81,5.82,3,19,27,0.7037037037037037,0,0,0.0,4,0,False,0.36363636363636365,0,human-written,file_handling,low,"import json

def load_config(filename):
    try:
        with open(filename, 'r') as f:
            return json.load(f)
    except:
        return {}

config = load_config('config.json')
print(config.get('debug', False))"
366,13,12,27.23076923076923,51,0.0769230769230769,0.2540983606557377,False,1,0,0,4,1,2,0,0,4,1,2,0,4,double,0,6,spaces,45,0,snake_case,1,0.0769230769230769,43.22,12.1,21.3,13.63,10.88,3,31,60,0.5166666666666667,0,0,0.0,4,0,False,0.3076923076923077,0,human-written,algorithm,medium,"def bubble_sort(arr):
    n = len(arr)
    for i in range(n):
        for j in range(0, n-i-1):
            if arr[j] > arr[j+1]:
                arr[j], arr[j+1] = arr[j+1], arr[j]
    return arr

# Test the function
numbers = [64, 34, 25, 12, 22, 11, 90]
sorted_numbers = bubble_sort(numbers.copy())
print(f""Original: {numbers}"")
print(f""Sorted: {sorted_numbers}"")"
383,15,13,24.6,71,0.1333333333333333,0.1488250652741514,False,0,0,0,3,0,0,0,0,0,0,2,0,12,double,0,4,spaces,29,0,snake_case,3,0.2,-12.59,17.0,32.0,30.87,10.86,1,29,43,0.6744186046511628,0,0,0.0,0,0,False,0.0,0,human-written,data_structures,medium,"# Dictionary operations
student_grades = {
    ""Alice"": 85,
    ""Bob"": 92,
    ""Charlie"": 78,
    ""Diana"": 96
}

# Find average grade
average = sum(student_grades.values()) / len(student_grades)
print(f""Average grade: {average:.2f}"")

# Find top student
top_student = max(student_grades, key=student_grades.get)
print(f""Top student: {top_student} with {student_grades[top_student]}"")"
2273,76,62,28.92105263157895,79,0.18421052631578946,0.37571491421029474,False,5,1,3,5,1,0,0,4,5,1,0,9,42,double,0,75,spaces,187,0,snake_case,0,0.0,20.55,12.5,18.7,18.99,6.84,9,95,230,0.41304347826086957,6,1110,185.0,25,3,False,0.4473684210526316,1,ai-generated,class,high,"class ConfigManager:
    """"""
    A class to manage application configuration.
    
    This class provides methods to load, save, and access configuration
    settings from various sources including files and environment variables.
    """"""
    
    def __init__(self, config_file: str = ""config.json""):
        """"""
        Initialize the configuration manager.
        
        Args:
            config_file (str): Path to the configuration file
        """"""
        self.config_file = config_file
        self.config = {}
        self.load_config()
    
    def load_config(self) -> None:
        """"""
        Load configuration from file.
        
        Raises:
            FileNotFoundError: If configuration file doesn't exist
            json.JSONDecodeError: If configuration file is invalid JSON
        """"""
        import json
        import os
        
        if os.path.exists(self.config_file):
            try:
                with open(self.config_file, 'r', encoding='utf-8') as file:
                    self.config = json.load(file)
            except json.JSONDecodeError as e:
                raise json.JSONDecodeError(f""Invalid JSON in config file: {e}"")
        else:
            self.config = {}
    
    def get(self, key: str, default=None):
        """"""
        Get configuration value by key.
        
        Args:
            key (str): Configuration key
            default: Default value if key not found
            
        Returns:
            Configuration value or default
        """"""
        return self.config.get(key, default)
    
    def set(self, key: str, value) -> None:
        """"""
        Set configuration value.
        
        Args:
            key (str): Configuration key
            value: Configuration value
        """"""
        self.config[key] = value
    
    def save_config(self) -> None:
        """"""
        Save configuration to file.
        
        Raises:
            IOError: If unable to write to configuration file
        """"""
        import json
        
        try:
            with open(self.config_file, 'w', encoding='utf-8') as file:
                json.dump(self.config, file, indent=4, ensure_ascii=False)
        except IOError as e:
            raise IOError(f""Unable to save config file: {e}"")"
89,5,4,17.0,28,0.2,0.1573033707865168,False,1,0,0,0,0,0,0,0,1,1,1,0,4,double,0,1,spaces,10,0,snake_case,1,0.2,45.42,9.2,22.3,18.99,3.6,0,11,13,0.8461538461538461,0,0,0.0,1,0,False,0.2,0,human-written,basic,low,"# Simple hello world
def greet(name):
    return f""Hello, {name}!""

print(greet(""World""))"
143,4,4,35.0,52,0.0,0.2027972027972027,False,0,0,0,2,0,0,0,0,0,0,1,0,0,double,0,0,spaces,13,0,snake_case,1,0.25,71.48,9.5,12.5,4.13,13.2,2,21,27,0.7777777777777778,0,0,0.0,0,0,False,0.0,0,human-written,basic,low,"# List comprehension example
numbers = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
even_squares = [x**2 for x in numbers if x % 2 == 0]
print(even_squares)"
835,32,26,25.125,65,0.1875,0.2790419161676646,False,2,0,1,4,1,1,0,0,2,1,1,2,30,double,0,27,spaces,73,3,snake_case,0,0.0,26.47,12.3,27.0,23.99,7.43,5,63,94,0.6702127659574468,2,250,125.0,7,1,True,0.3125,1,ai-generated,validation,medium,"def validate_email(email: str) -> bool:
    """"""
    Validate an email address using basic pattern matching.
    
    Args:
        email (str): Email address to validate
        
    Returns:
        bool: True if email is valid, False otherwise
    """"""
    import re
    
    pattern = r'^[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[a-zA-Z]{2,}$'
    return bool(re.match(pattern, email))

def test_email_validation():
    """"""Test the email validation function.""""""
    test_emails = [
        ""user@example.com"",
        ""invalid.email"",
        ""test@domain.co.uk"",
        ""not_an_email"",
        ""another@test.org""
    ]
    
    for email in test_emails:
        is_valid = validate_email(email)
        status = ""Valid"" if is_valid else ""Invalid""
        print(f""{email}: {status}"")

if __name__ == ""__main__"":
    test_email_validation()"
965,40,31,23.15,63,0.225,0.3533678756476684,False,2,0,0,8,4,0,1,0,4,2,2,0,18,double,0,35,spaces,84,0,snake_case,0,0.0,53.24,12.4,19.7,11.84,12.42,10,59,114,0.5175438596491229,2,266,133.0,12,0,True,0.35,1,ai-generated,algorithm,medium,"def binary_search(arr, target):
    """"""
    Perform binary search on a sorted array.
    
    Args:
        arr (list): Sorted list to search in
        target: Element to search for
        
    Returns:
        int: Index of target if found, -1 otherwise
    """"""
    left = 0
    right = len(arr) - 1
    
    while left <= right:
        mid = (left + right) // 2
        
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            left = mid + 1
        else:
            right = mid - 1
    
    return -1

def test_binary_search():
    """"""Test function for binary search.""""""
    test_array = [1, 3, 5, 7, 9, 11, 13, 15, 17, 19]
    test_target = 7
    
    result = binary_search(test_array, test_target)
    
    if result != -1:
        print(f""Element {test_target} found at index {result}"")
    else:
        print(f""Element {test_target} not found in the array"")

if __name__ == ""__main__"":
    test_binary_search()"
1189,55,43,20.636363636363637,50,0.21818181818181817,0.343986543313709,False,3,0,0,7,3,0,1,0,3,3,2,0,24,double,0,48,spaces,113,0,snake_case,0,0.0,63.8,8.3,19.6,14.96,8.16,5,57,141,0.40425531914893614,3,390,130.0,18,2,True,0.41818181818181815,1,ai-generated,algorithm,high,"def merge_sort(arr: list) -> list:
    """"""
    Implement merge sort algorithm.
    
    Args:
        arr (list): List of elements to sort
        
    Returns:
        list: Sorted list
    """"""
    if len(arr) <= 1:
        return arr
    
    mid = len(arr) // 2
    left = merge_sort(arr[:mid])
    right = merge_sort(arr[mid:])
    
    return merge(left, right)

def merge(left: list, right: list) -> list:
    """"""
    Merge two sorted lists.
    
    Args:
        left (list): First sorted list
        right (list): Second sorted list
        
    Returns:
        list: Merged sorted list
    """"""
    result = []
    i = j = 0
    
    while i < len(left) and j < len(right):
        if left[i] <= right[j]:
            result.append(left[i])
            i += 1
        else:
            result.append(right[j])
            j += 1
    
    result.extend(left[i:])
    result.extend(right[j:])
    
    return result

def main():
    """"""Main function to demonstrate merge sort.""""""
    test_array = [64, 34, 25, 12, 22, 11, 90]
    sorted_array = merge_sort(test_array)
    print(f""Original: {test_array}"")
    print(f""Sorted: {sorted_array}"")

if __name__ == ""__main__"":
    main()"
220,10,9,21.1,49,0.1,0.34545454545454546,False,1,0,0,1,2,1,0,0,3,3,1,0,0,double,0,6,spaces,28,0,snake_case,0,0.0,89.58,4.6,8.2,3.94,6.2,5,19,39,0.48717948717948717,0,0,0.0,4,0,False,0.4,0,human-written,algorithm,medium,"def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True

primes = [i for i in range(2, 50) if is_prime(i)]
print(primes)"
497,21,17,22.714285714285715,52,0.1904761904761904,0.2957746478873239,False,4,1,0,4,0,0,0,0,2,3,3,0,6,double,0,15,spaces,55,0,snake_case,0,0.0,14.73,12.7,21.7,17.62,4.31,0,22,63,0.3492063492063492,0,0,0.0,5,0,False,0.238095238095238,0,human-written,class,medium,"class Calculator:
    def __init__(self):
        self.history = []
    
    def add(self, a, b):
        result = a + b
        self.history.append(f""{a} + {b} = {result}"")
        return result
    
    def subtract(self, a, b):
        result = a - b
        self.history.append(f""{a} - {b} = {result}"")
        return result
    
    def get_history(self):
        return self.history

calc = Calculator()
print(calc.add(5, 3))
print(calc.subtract(10, 4))
print(""History:"", calc.get_history())"
